No Transaksi	Jenis Transaksi	Tanggal	Nama Pelanggan	Kode Produk	Nama Produk	Jumlah	Harga
8	Stok Masuk	09-04-2020	-	Item-20	Gunting Kuku	16	-
9	Stok Masuk	10-04-2020	-	Item-02	Bawang Putih 200 gram	33	-
9	Stok Masuk	10-04-2020	-	Item-03	Gula Pasir Putih 1 kg	42	-
9	Stok Masuk	10-04-2020	-	Item-05	Mi Goreng Instant	30	-
9	Stok Masuk	10-04-2020	-	Item-11	Sabun Cuci Piring	61	-
10	Penjualan	10-04-2020	Fajri	Item-11	Sabun Cuci Piring	3	14000
11	Penjualan	10-04-2020	Fitri	Item-11	Sabun Cuci Piring	3	14000
12	Penjualan	10-04-2020	Nita	Item-11	Sabun Cuci Piring	2	14000
13	Penjualan	10-04-2020	Rian	Item-02	Bawang Putih 200 gram	3	15000
13	Penjualan	10-04-2020	Rian	Item-03	Gula Pasir Putih 1 kg	2	12500
13	Penjualan	10-04-2020	Rian	Item-05	Mi Goreng Instant	2	2600
13	Penjualan	10-04-2020	Rian	Item-11	Sabun Cuci Piring	3	14000
14	Penjualan	10-04-2020	Zahra	Item-03	Gula Pasir Putih 1 kg	3	12500
14	Penjualan	10-04-2020	Zahra	Item-05	Mi Goreng Instant	2	2600
14	Penjualan	10-04-2020	Zahra	Item-11	Sabun Cuci Piring	4	14000
15	Stok Masuk	11-04-2020	-	Item-07	Sabut Cuci Piring	6	-
15	Stok Masuk	11-04-2020	-	Item-16	Balsem Putih 20 gram	8	-
15	Stok Masuk	11-04-2020	-	Item-17	Obat Batuk	27	-
15	Stok Masuk	11-04-2020	-	Item-18	Telur Ayam Negeri	86	-
16	Penjualan	11-04-2020	Agung	Item-05	Mi Goreng Instant	2	2600
16	Penjualan	11-04-2020	Agung	Item-07	Sabut Cuci Piring	1	7500
16	Penjualan	11-04-2020	Agung	Item-11	Sabun Cuci Piring	2	14000
17	Penjualan	11-04-2020	Bagus	Item-05	Mi Goreng Instant	1	2600
17	Penjualan	11-04-2020	Bagus	Item-11	Sabun Cuci Piring	3	14000
17	Penjualan	11-04-2020	Bagus	Item-16	Balsem Putih 20 gram	1	22300
18	Penjualan	11-04-2020	Bambang	Item-05	Mi Goreng Instant	3	2600
18	Penjualan	11-04-2020	Bambang	Item-11	Sabun Cuci Piring	4	14000
18	Penjualan	11-04-2020	Bambang	Item-16	Balsem Putih 20 gram	1	22300
19	Penjualan	11-04-2020	Indah	Item-03	Gula Pasir Putih 1 kg	2	12500
19	Penjualan	11-04-2020	Indah	Item-05	Mi Goreng Instant	1	2600
19	Penjualan	11-04-2020	Indah	Item-07	Sabut Cuci Piring	2	7500
19	Penjualan	11-04-2020	Indah	Item-11	Sabun Cuci Piring	3	14000
20	Penjualan	11-04-2020	Murni	Item-02	Bawang Putih 200 gram	1	15000
20	Penjualan	11-04-2020	Murni	Item-03	Gula Pasir Putih 1 kg	2	12500
20	Penjualan	11-04-2020	Murni	Item-05	Mi Goreng Instant	1	2600
20	Penjualan	11-04-2020	Murni	Item-11	Sabun Cuci Piring	2	14000
20	Penjualan	11-04-2020	Murni	Item-17	Obat Batuk	3	5000
21	Penjualan	11-04-2020	Rahma	Item-02	Bawang Putih 200 gram	2	15000
21	Penjualan	11-04-2020	Rahma	Item-03	Gula Pasir Putih 1 kg	1	12500
21	Penjualan	11-04-2020	Rahma	Item-05	Mi Goreng Instant	4	2600
21	Penjualan	11-04-2020	Rahma	Item-11	Sabun Cuci Piring	3	14000
21	Penjualan	11-04-2020	Rahma	Item-16	Balsem Putih 20 gram	4	22300
22	Penjualan	11-04-2020	Sarah	Item-03	Gula Pasir Putih 1 kg	2	12500
22	Penjualan	11-04-2020	Sarah	Item-05	Mi Goreng Instant	1	2600
22	Penjualan	11-04-2020	Sarah	Item-11	Sabun Cuci Piring	2	14000
22	Penjualan	11-04-2020	Sarah	Item-16	Balsem Putih 20 gram	2	22300
23	Penjualan	11-04-2020	Tika	Item-05	Mi Goreng Instant	4	2600
23	Penjualan	11-04-2020	Tika	Item-07	Sabut Cuci Piring	3	7500
23	Penjualan	11-04-2020	Tika	Item-11	Sabun Cuci Piring	4	14000
24	Stok Masuk	12-04-2020	-	Item-02	Bawang Putih 200 gram	52	-
24	Stok Masuk	12-04-2020	-	Item-03	Gula Pasir Putih 1 kg	41	-
24	Stok Masuk	12-04-2020	-	Item-08	Vitamin C	27	-
24	Stok Masuk	12-04-2020	-	Item-09	Roti Tawar	12	-
24	Stok Masuk	12-04-2020	-	Item-13	Pisau Cukur	17	-
24	Stok Masuk	12-04-2020	-	Item-14	Teh Celup Melati	38	-
24	Stok Masuk	12-04-2020	-	Item-19	Obat Diare	34	-
25	Penjualan	12-04-2020	Anggun	Item-05	Mi Goreng Instant	1	2600
25	Penjualan	12-04-2020	Anggun	Item-08	Vitamin C	4	2000
25	Penjualan	12-04-2020	Anggun	Item-09	Roti Tawar	3	12500
26	Penjualan	12-04-2020	Gunawan	Item-05	Mi Goreng Instant	1	2600
26	Penjualan	12-04-2020	Gunawan	Item-08	Vitamin C	4	2000
26	Penjualan	12-04-2020	Gunawan	Item-09	Roti Tawar	2	12500
27	Penjualan	12-04-2020	Krisda	Item-05	Mi Goreng Instant	3	2600
27	Penjualan	12-04-2020	Krisda	Item-08	Vitamin C	2	2000
27	Penjualan	12-04-2020	Krisda	Item-09	Roti Tawar	4	12500
28	Penjualan	12-04-2020	Sri	Item-03	Gula Pasir Putih 1 kg	2	12500
28	Penjualan	12-04-2020	Sri	Item-05	Mi Goreng Instant	2	2600
28	Penjualan	12-04-2020	Sri	Item-08	Vitamin C	3	2000
28	Penjualan	12-04-2020	Sri	Item-09	Roti Tawar	2	12500
29	Penjualan	12-04-2020	Tiara	Item-05	Mi Goreng Instant	1	2600
29	Penjualan	12-04-2020	Tiara	Item-08	Vitamin C	4	2000
29	Penjualan	12-04-2020	Tiara	Item-11	Sabun Cuci Piring	3	14000
30	Penjualan	12-04-2020	Yati	Item-09	Roti Tawar	1	12500
31	Penjualan	13-04-2020	Bambang	Item-13	Pisau Cukur	1	6500
31	Penjualan	13-04-2020	Bambang	Item-14	Teh Celup Melati	4	7800
32	Penjualan	13-04-2020	Jaya	Item-13	Pisau Cukur	1	6500
32	Penjualan	13-04-2020	Jaya	Item-14	Teh Celup Melati	4	7800
33	Penjualan	13-04-2020	Kurnia	Item-08	Vitamin C	1	2000
33	Penjualan	13-04-2020	Kurnia	Item-11	Sabun Cuci Piring	2	14000
34	Penjualan	13-04-2020	Rian	Item-02	Bawang Putih 200 gram	4	15000
34	Penjualan	13-04-2020	Rian	Item-03	Gula Pasir Putih 1 kg	3	12500
34	Penjualan	13-04-2020	Rian	Item-11	Sabun Cuci Piring	2	14000
34	Penjualan	13-04-2020	Rian	Item-13	Pisau Cukur	1	6500
34	Penjualan	13-04-2020	Rian	Item-14	Teh Celup Melati	3	7800
35	Penjualan	13-04-2020	Rizki	Item-03	Gula Pasir Putih 1 kg	3	12500
35	Penjualan	13-04-2020	Rizki	Item-08	Vitamin C	4	2000
35	Penjualan	13-04-2020	Rizki	Item-11	Sabun Cuci Piring	3	14000
35	Penjualan	13-04-2020	Rizki	Item-13	Pisau Cukur	1	6500
36	Penjualan	13-04-2020	Silvia	Item-05	Mi Goreng Instant	1	2600
36	Penjualan	13-04-2020	Silvia	Item-08	Vitamin C	4	2000
36	Penjualan	13-04-2020	Silvia	Item-11	Sabun Cuci Piring	2	14000
37	Penjualan	13-04-2020	Tia	Item-14	Teh Celup Melati	1	7800
38	Penjualan	13-04-2020	Ujang	Item-08	Vitamin C	1	2000
38	Penjualan	13-04-2020	Ujang	Item-11	Sabun Cuci Piring	3	14000
38	Penjualan	13-04-2020	Ujang	Item-13	Pisau Cukur	2	6500
39	Penjualan	13-04-2020	Wahyu	Item-02	Bawang Putih 200 gram	3	15000
39	Penjualan	13-04-2020	Wahyu	Item-03	Gula Pasir Putih 1 kg	3	12500
39	Penjualan	13-04-2020	Wahyu	Item-11	Sabun Cuci Piring	2	14000
39	Penjualan	13-04-2020	Wahyu	Item-13	Pisau Cukur	3	6500
39	Penjualan	13-04-2020	Wahyu	Item-14	Teh Celup Melati	3	7800
40	Stok Masuk	14-04-2020	-	Item-05	Mi Goreng Instant	71	-
40	Stok Masuk	14-04-2020	-	Item-06	Sabun Mandi Cair 100 ml	69	-
41	Penjualan	14-04-2020	Ayu	Item-03	Gula Pasir Putih 1 kg	2	12500
41	Penjualan	14-04-2020	Ayu	Item-05	Mi Goreng Instant	2	2600
41	Penjualan	14-04-2020	Ayu	Item-06	Sabun Mandi Cair 100 ml	2	10500
41	Penjualan	14-04-2020	Ayu	Item-14	Teh Celup Melati	4	7800
42	Penjualan	14-04-2020	Citra	Item-14	Teh Celup Melati	1	7800
43	Penjualan	14-04-2020	Erlangga	Item-02	Bawang Putih 200 gram	2	15000
43	Penjualan	14-04-2020	Erlangga	Item-03	Gula Pasir Putih 1 kg	1	12500
43	Penjualan	14-04-2020	Erlangga	Item-05	Mi Goreng Instant	4	2600
43	Penjualan	14-04-2020	Erlangga	Item-06	Sabun Mandi Cair 100 ml	2	10500
43	Penjualan	14-04-2020	Erlangga	Item-14	Teh Celup Melati	1	7800
44	Penjualan	14-04-2020	Farah	Item-02	Bawang Putih 200 gram	3	15000
44	Penjualan	14-04-2020	Farah	Item-03	Gula Pasir Putih 1 kg	4	12500
44	Penjualan	14-04-2020	Farah	Item-05	Mi Goreng Instant	4	2600
44	Penjualan	14-04-2020	Farah	Item-06	Sabun Mandi Cair 100 ml	2	10500
44	Penjualan	14-04-2020	Farah	Item-14	Teh Celup Melati	1	7800
45	Penjualan	14-04-2020	Feri	Item-05	Mi Goreng Instant	4	2600
45	Penjualan	14-04-2020	Feri	Item-06	Sabun Mandi Cair 100 ml	1	10500
45	Penjualan	14-04-2020	Feri	Item-14	Teh Celup Melati	1	7800
46	Penjualan	14-04-2020	Fitri	Item-11	Sabun Cuci Piring	4	14000
47	Penjualan	14-04-2020	Galang	Item-02	Bawang Putih 200 gram	3	15000
47	Penjualan	14-04-2020	Galang	Item-03	Gula Pasir Putih 1 kg	2	12500
47	Penjualan	14-04-2020	Galang	Item-05	Mi Goreng Instant	3	2600
47	Penjualan	14-04-2020	Galang	Item-06	Sabun Mandi Cair 100 ml	4	10500
47	Penjualan	14-04-2020	Galang	Item-14	Teh Celup Melati	1	7800
48	Penjualan	14-04-2020	Lestari	Item-05	Mi Goreng Instant	4	2600
48	Penjualan	14-04-2020	Lestari	Item-06	Sabun Mandi Cair 100 ml	3	10500
48	Penjualan	14-04-2020	Lestari	Item-13	Pisau Cukur	4	6500
49	Penjualan	14-04-2020	Marta	Item-11	Sabun Cuci Piring	2	14000
50	Penjualan	14-04-2020	Putri	Item-14	Teh Celup Melati	3	7800
51	Penjualan	14-04-2020	Rafi	Item-05	Mi Goreng Instant	2	2600
51	Penjualan	14-04-2020	Rafi	Item-06	Sabun Mandi Cair 100 ml	1	10500
51	Penjualan	14-04-2020	Rafi	Item-14	Teh Celup Melati	2	7800
52	Penjualan	14-04-2020	Sarah	Item-03	Gula Pasir Putih 1 kg	4	12500
52	Penjualan	14-04-2020	Sarah	Item-05	Mi Goreng Instant	3	2600
52	Penjualan	14-04-2020	Sarah	Item-06	Sabun Mandi Cair 100 ml	4	10500
52	Penjualan	14-04-2020	Sarah	Item-14	Teh Celup Melati	4	7800
53	Penjualan	14-04-2020	Siti	Item-05	Mi Goreng Instant	4	2600
53	Penjualan	14-04-2020	Siti	Item-06	Sabun Mandi Cair 100 ml	4	10500
53	Penjualan	14-04-2020	Siti	Item-13	Pisau Cukur	4	6500
54	Penjualan	14-04-2020	Wardi	Item-02	Bawang Putih 200 gram	4	15000
54	Penjualan	14-04-2020	Wardi	Item-03	Gula Pasir Putih 1 kg	3	12500
54	Penjualan	14-04-2020	Wardi	Item-05	Mi Goreng Instant	4	2600
54	Penjualan	14-04-2020	Wardi	Item-06	Sabun Mandi Cair 100 ml	2	10500
54	Penjualan	14-04-2020	Wardi	Item-14	Teh Celup Melati	4	7800
55	Penjualan	14-04-2020	Yuli	Item-06	Sabun Mandi Cair 100 ml	2	10500
55	Penjualan	14-04-2020	Yuli	Item-14	Teh Celup Melati	1	7800
56	Stok Masuk	15-04-2020	-	Item-02	Bawang Putih 200 gram	58	-
56	Stok Masuk	15-04-2020	-	Item-03	Gula Pasir Putih 1 kg	45	-
56	Stok Masuk	15-04-2020	-	Item-09	Roti Tawar	10	-
56	Stok Masuk	15-04-2020	-	Item-10	Biskuit Waver Kaleng	73	-
56	Stok Masuk	15-04-2020	-	Item-18	Telur Ayam Negeri	73	-
57	Penjualan	15-04-2020	Andi	Item-06	Sabun Mandi Cair 100 ml	4	10500
57	Penjualan	15-04-2020	Andi	Item-09	Roti Tawar	3	12500
58	Penjualan	15-04-2020	Andika	Item-05	Mi Goreng Instant	1	2600
58	Penjualan	15-04-2020	Andika	Item-06	Sabun Mandi Cair 100 ml	1	10500
58	Penjualan	15-04-2020	Andika	Item-09	Roti Tawar	2	12500
59	Penjualan	15-04-2020	Anggun	Item-09	Roti Tawar	2	12500
60	Penjualan	15-04-2020	Ardi	Item-03	Gula Pasir Putih 1 kg	2	12500
60	Penjualan	15-04-2020	Ardi	Item-05	Mi Goreng Instant	4	2600
60	Penjualan	15-04-2020	Ardi	Item-06	Sabun Mandi Cair 100 ml	3	10500
60	Penjualan	15-04-2020	Ardi	Item-09	Roti Tawar	1	12500
61	Penjualan	15-04-2020	Deni	Item-02	Bawang Putih 200 gram	1	15000
61	Penjualan	15-04-2020	Deni	Item-03	Gula Pasir Putih 1 kg	4	12500
61	Penjualan	15-04-2020	Deni	Item-05	Mi Goreng Instant	3	2600
61	Penjualan	15-04-2020	Deni	Item-06	Sabun Mandi Cair 100 ml	4	10500
61	Penjualan	15-04-2020	Deni	Item-10	Biskuit Waver Kaleng	4	24000
62	Penjualan	15-04-2020	Komang	Item-06	Sabun Mandi Cair 100 ml	4	10500
62	Penjualan	15-04-2020	Komang	Item-10	Biskuit Waver Kaleng	1	24000
63	Penjualan	15-04-2020	Nita	Item-06	Sabun Mandi Cair 100 ml	3	10500
63	Penjualan	15-04-2020	Nita	Item-10	Biskuit Waver Kaleng	4	24000
64	Penjualan	15-04-2020	Rahma	Item-06	Sabun Mandi Cair 100 ml	2	10500
64	Penjualan	15-04-2020	Rahma	Item-09	Roti Tawar	2	12500
65	Penjualan	15-04-2020	Tasya	Item-06	Sabun Mandi Cair 100 ml	2	10500
65	Penjualan	15-04-2020	Tasya	Item-10	Biskuit Waver Kaleng	1	24000
66	Stok Masuk	16-04-2020	-	Item-04	Kopi Instant	45	-
66	Stok Masuk	16-04-2020	-	Item-17	Obat Batuk	41	-
67	Penjualan	16-04-2020	Bagus	Item-03	Gula Pasir Putih 1 kg	4	12500
67	Penjualan	16-04-2020	Bagus	Item-04	Kopi Instant	4	5200
67	Penjualan	16-04-2020	Bagus	Item-05	Mi Goreng Instant	4	2600
67	Penjualan	16-04-2020	Bagus	Item-10	Biskuit Waver Kaleng	3	24000
68	Penjualan	16-04-2020	Bayu	Item-10	Biskuit Waver Kaleng	2	24000
69	Penjualan	16-04-2020	Fajri	Item-04	Kopi Instant	3	5200
69	Penjualan	16-04-2020	Fajri	Item-05	Mi Goreng Instant	2	2600
69	Penjualan	16-04-2020	Fajri	Item-10	Biskuit Waver Kaleng	4	24000
70	Penjualan	16-04-2020	Hengky	Item-06	Sabun Mandi Cair 100 ml	4	10500
71	Penjualan	16-04-2020	Indah	Item-02	Bawang Putih 200 gram	3	15000
71	Penjualan	16-04-2020	Indah	Item-03	Gula Pasir Putih 1 kg	4	12500
71	Penjualan	16-04-2020	Indah	Item-04	Kopi Instant	4	5200
71	Penjualan	16-04-2020	Indah	Item-05	Mi Goreng Instant	2	2600
71	Penjualan	16-04-2020	Indah	Item-06	Sabun Mandi Cair 100 ml	4	10500
72	Penjualan	16-04-2020	Krisda	Item-03	Gula Pasir Putih 1 kg	3	12500
72	Penjualan	16-04-2020	Krisda	Item-04	Kopi Instant	2	5200
72	Penjualan	16-04-2020	Krisda	Item-05	Mi Goreng Instant	4	2600
72	Penjualan	16-04-2020	Krisda	Item-06	Sabun Mandi Cair 100 ml	4	10500
73	Penjualan	16-04-2020	Murni	Item-03	Gula Pasir Putih 1 kg	2	12500
73	Penjualan	16-04-2020	Murni	Item-04	Kopi Instant	4	5200
73	Penjualan	16-04-2020	Murni	Item-05	Mi Goreng Instant	2	2600
73	Penjualan	16-04-2020	Murni	Item-06	Sabun Mandi Cair 100 ml	2	10500
74	Penjualan	16-04-2020	Rizki	Item-03	Gula Pasir Putih 1 kg	2	12500
74	Penjualan	16-04-2020	Rizki	Item-04	Kopi Instant	3	5200
74	Penjualan	16-04-2020	Rizki	Item-05	Mi Goreng Instant	3	2600
74	Penjualan	16-04-2020	Rizki	Item-06	Sabun Mandi Cair 100 ml	4	10500
75	Penjualan	16-04-2020	Yati	Item-03	Gula Pasir Putih 1 kg	2	12500
75	Penjualan	16-04-2020	Yati	Item-04	Kopi Instant	1	5200
75	Penjualan	16-04-2020	Yati	Item-05	Mi Goreng Instant	3	2600
75	Penjualan	16-04-2020	Yati	Item-10	Biskuit Waver Kaleng	4	24000
76	Penjualan	16-04-2020	Yudhi	Item-03	Gula Pasir Putih 1 kg	2	12500
76	Penjualan	16-04-2020	Yudhi	Item-04	Kopi Instant	4	5200
76	Penjualan	16-04-2020	Yudhi	Item-05	Mi Goreng Instant	4	2600
76	Penjualan	16-04-2020	Yudhi	Item-06	Sabun Mandi Cair 100 ml	1	10500
77	Stok Masuk	17-04-2020	-	Item-11	Sabun Cuci Piring	35	-
78	Penjualan	17-04-2020	Bambang	Item-10	Biskuit Waver Kaleng	4	24000
78	Penjualan	17-04-2020	Bambang	Item-11	Sabun Cuci Piring	1	14000
78	Penjualan	17-04-2020	Bambang	Item-17	Obat Batuk	2	5000
79	Penjualan	17-04-2020	Citra	Item-10	Biskuit Waver Kaleng	3	24000
80	Penjualan	17-04-2020	Deni	Item-10	Biskuit Waver Kaleng	3	24000
81	Penjualan	17-04-2020	Diki	Item-02	Bawang Putih 200 gram	1	15000
81	Penjualan	17-04-2020	Diki	Item-03	Gula Pasir Putih 1 kg	3	12500
81	Penjualan	17-04-2020	Diki	Item-04	Kopi Instant	1	5200
81	Penjualan	17-04-2020	Diki	Item-10	Biskuit Waver Kaleng	1	24000
81	Penjualan	17-04-2020	Diki	Item-11	Sabun Cuci Piring	4	14000
82	Penjualan	17-04-2020	Farah	Item-02	Bawang Putih 200 gram	3	15000
82	Penjualan	17-04-2020	Farah	Item-03	Gula Pasir Putih 1 kg	1	12500
82	Penjualan	17-04-2020	Farah	Item-04	Kopi Instant	3	5200
82	Penjualan	17-04-2020	Farah	Item-10	Biskuit Waver Kaleng	2	24000
82	Penjualan	17-04-2020	Farah	Item-11	Sabun Cuci Piring	2	14000
83	Penjualan	17-04-2020	Gunawan	Item-03	Gula Pasir Putih 1 kg	2	12500
83	Penjualan	17-04-2020	Gunawan	Item-04	Kopi Instant	4	5200
83	Penjualan	17-04-2020	Gunawan	Item-10	Biskuit Waver Kaleng	3	24000
83	Penjualan	17-04-2020	Gunawan	Item-11	Sabun Cuci Piring	4	14000
84	Penjualan	17-04-2020	Hadi	Item-10	Biskuit Waver Kaleng	3	24000
84	Penjualan	17-04-2020	Hadi	Item-11	Sabun Cuci Piring	4	14000
85	Penjualan	17-04-2020	Hasan	Item-04	Kopi Instant	1	5200
85	Penjualan	17-04-2020	Hasan	Item-10	Biskuit Waver Kaleng	2	24000
85	Penjualan	17-04-2020	Hasan	Item-11	Sabun Cuci Piring	4	14000
86	Penjualan	17-04-2020	Kurnia	Item-02	Bawang Putih 200 gram	1	15000
86	Penjualan	17-04-2020	Kurnia	Item-03	Gula Pasir Putih 1 kg	1	12500
86	Penjualan	17-04-2020	Kurnia	Item-10	Biskuit Waver Kaleng	1	24000
86	Penjualan	17-04-2020	Kurnia	Item-11	Sabun Cuci Piring	3	14000
86	Penjualan	17-04-2020	Kurnia	Item-17	Obat Batuk	1	5000
87	Penjualan	17-04-2020	Rafi	Item-04	Kopi Instant	2	5200
87	Penjualan	17-04-2020	Rafi	Item-05	Mi Goreng Instant	2	2600
87	Penjualan	17-04-2020	Rafi	Item-10	Biskuit Waver Kaleng	1	24000
88	Penjualan	17-04-2020	Rian	Item-04	Kopi Instant	1	5200
88	Penjualan	17-04-2020	Rian	Item-05	Mi Goreng Instant	2	2600
88	Penjualan	17-04-2020	Rian	Item-10	Biskuit Waver Kaleng	3	24000
89	Penjualan	17-04-2020	Sandi	Item-10	Biskuit Waver Kaleng	1	24000
89	Penjualan	17-04-2020	Sandi	Item-11	Sabun Cuci Piring	3	14000
90	Penjualan	17-04-2020	Sarah	Item-02	Bawang Putih 200 gram	2	15000
90	Penjualan	17-04-2020	Sarah	Item-03	Gula Pasir Putih 1 kg	1	12500
90	Penjualan	17-04-2020	Sarah	Item-04	Kopi Instant	3	5200
90	Penjualan	17-04-2020	Sarah	Item-05	Mi Goreng Instant	1	2600
90	Penjualan	17-04-2020	Sarah	Item-10	Biskuit Waver Kaleng	3	24000
91	Penjualan	17-04-2020	Ujang	Item-11	Sabun Cuci Piring	3	14000
92	Penjualan	17-04-2020	Wardi	Item-04	Kopi Instant	4	5200
92	Penjualan	17-04-2020	Wardi	Item-10	Biskuit Waver Kaleng	1	24000
92	Penjualan	17-04-2020	Wardi	Item-11	Sabun Cuci Piring	3	14000
93	Penjualan	17-04-2020	Wulan	Item-04	Kopi Instant	1	5200
93	Penjualan	17-04-2020	Wulan	Item-10	Biskuit Waver Kaleng	4	24000
93	Penjualan	17-04-2020	Wulan	Item-11	Sabun Cuci Piring	1	14000
94	Penjualan	17-04-2020	Yansen	Item-10	Biskuit Waver Kaleng	4	24000
94	Penjualan	17-04-2020	Yansen	Item-11	Sabun Cuci Piring	3	14000
95	Stok Masuk	18-04-2020	-	Item-02	Bawang Putih 200 gram	21	-
95	Stok Masuk	18-04-2020	-	Item-09	Roti Tawar	11	-
95	Stok Masuk	18-04-2020	-	Item-19	Obat Diare	25	-
96	Penjualan	18-04-2020	Agung	Item-19	Obat Diare	3	5000
97	Penjualan	18-04-2020	Agus	Item-17	Obat Batuk	4	5000
97	Penjualan	18-04-2020	Agus	Item-18	Telur Ayam Negeri	4	1700
97	Penjualan	18-04-2020	Agus	Item-19	Obat Diare	1	5000
98	Penjualan	18-04-2020	Fitri	Item-03	Gula Pasir Putih 1 kg	3	12500
98	Penjualan	18-04-2020	Fitri	Item-09	Roti Tawar	2	12500
98	Penjualan	18-04-2020	Fitri	Item-10	Biskuit Waver Kaleng	1	24000
98	Penjualan	18-04-2020	Fitri	Item-17	Obat Batuk	4	5000
99	Penjualan	18-04-2020	Lestari	Item-09	Roti Tawar	2	12500
99	Penjualan	18-04-2020	Lestari	Item-17	Obat Batuk	2	5000
99	Penjualan	18-04-2020	Lestari	Item-18	Telur Ayam Negeri	3	1700
100	Penjualan	18-04-2020	Silvia	Item-10	Biskuit Waver Kaleng	2	24000
100	Penjualan	18-04-2020	Silvia	Item-17	Obat Batuk	2	5000
101	Penjualan	18-04-2020	Tika	Item-02	Bawang Putih 200 gram	4	15000
101	Penjualan	18-04-2020	Tika	Item-03	Gula Pasir Putih 1 kg	4	12500
101	Penjualan	18-04-2020	Tika	Item-09	Roti Tawar	4	12500
101	Penjualan	18-04-2020	Tika	Item-10	Biskuit Waver Kaleng	1	24000
101	Penjualan	18-04-2020	Tika	Item-17	Obat Batuk	3	5000
102	Penjualan	18-04-2020	Wahyu	Item-10	Biskuit Waver Kaleng	4	24000
102	Penjualan	18-04-2020	Wahyu	Item-17	Obat Batuk	1	5000
103	Penjualan	18-04-2020	Zahra	Item-03	Gula Pasir Putih 1 kg	4	12500
103	Penjualan	18-04-2020	Zahra	Item-09	Roti Tawar	3	12500
103	Penjualan	18-04-2020	Zahra	Item-10	Biskuit Waver Kaleng	3	24000
103	Penjualan	18-04-2020	Zahra	Item-17	Obat Batuk	3	5000
104	Stok Masuk	19-04-2020	-	Item-01	Batere AA	91	-
104	Stok Masuk	19-04-2020	-	Item-03	Gula Pasir Putih 1 kg	45	-
104	Stok Masuk	19-04-2020	-	Item-05	Mi Goreng Instant	26	-
104	Stok Masuk	19-04-2020	-	Item-08	Vitamin C	53	-
